CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2009-12,421.9651256613757,597.2408787346221,471.675,479.6287029288703,472.4214308426073,470.40922950819674,458.02355345911946,481.960770519263,542.9499817850638,517.9800735294118,547.8435535006605,511.22678252234357,666.2253621169916,525.0453301886793,529.713665768194,491.29287190082647,395.14542500000005,494.23805860805857,519.8793634496919,526.8512694877505,578.4795486935867,634.2406896551724,642.42506993007,520.9194890510948
2010-01,353.76162895927604,384.37161616161615,302.7768674698795,390.0431468531468,431.8621804511278,308.5013836477988,362.29868613138683,378.157,393.92645833333336,436.4743125,431.0324855491329,510.7944444444445,409.339705882353,391.7571264367816,448.63653465346533,400.3256338028169,398.9982786885246,407.08540816326536,479.15115789473685,422.210625,456.0856349206349,554.7889215686274,381.6271052631579,
2010-02,370.12142857142857,285.39883928571425,440.2499152542373,378.4211594202899,372.4852991452991,380.40306930693066,402.8991489361702,375.9501470588235,443.031512605042,359.8233108108108,668.13,316.9071186440678,421.69492307692303,451.26710526315793,387.6377358490566,346.48712962962964,354.6976543209876,422.388076923077,343.3409589041096,409.7043243243243,424.53407407407406,387.43114583333335,,
2010-03,376.3406238185255,392.5967543859649,334.2726206896552,363.19654088050316,354.15757142857143,412.3703937007874,448.38335664335665,424.2170224719101,380.6140883977901,432.1026086956522,414.8176785714286,413.5105555555556,411.3812745098039,425.44577777777783,410.00149122807017,344.54744444444447,408.23868686868684,541.7514606741573,501.84170212765963,521.6428301886792,392.9873333333333,,,
2010-04,376.55273846153847,283.2983333333333,298.37926470588235,413.28921875000003,314.7495588235294,372.80634146341464,341.4278431372549,316.6408910891089,366.4666666666667,443.36105263157896,240.3496153846154,373.0765909090909,313.29857142857145,412.14722222222224,313.03886792452835,423.9196153846154,324.05884615384616,387.6492,376.90057971014494,318.2786956521739,,,,
2010-05,350.12070175438595,284.04270833333334,300.2734042553192,265.9060416666667,269.9582258064516,379.509268292683,321.7530555555556,368.1867567567568,280.1557142857143,299.42541666666665,289.8384375,342.0428947368421,358.9875,420.99697674418604,296.95454545454544,383.415,483.1365217391304,351.1408,287.11472727272724,,,,,
2010-06,376.91754838709676,273.4906896551724,357.30349206349206,367.7471212121212,440.73026315789474,448.6480582524272,467.89076923076925,615.8137037037037,783.9164285714286,746.93,319.6675,575.4114285714286,790.2497959183673,378.5579487179487,1134.296052631579,418.06,787.8604545454546,321.4135365853659,,,,,,
2010-07,293.62459915611817,238.5205882352941,274.2278,338.68671232876716,329.9781395348837,451.63628571428575,301.83,325.51375,297.12428571428575,312.4390625,287.2325,366.59411764705885,334.32972222222224,397.24885714285716,328.7260416666667,366.18325581395345,329.2610294117647,,,,,,,
2010-08,315.8634210526316,299.7566666666667,338.2995588235294,285.8589024390244,546.4768292682927,270.18449999999996,327.570625,226.43592592592594,355.12555555555554,244.90928571428572,291.9912,269.0592307692308,367.764,557.7534375,554.2531428571428,482.9941463414635,,,,,,,,
2010-09,424.00256227758007,308.30724999999995,369.54581395348833,499.16897435897437,490.3759375,248.33787878787876,463.8448936170213,334.056,392.84413043478264,338.27575,453.0285365853659,636.1191428571428,776.1331578947369,451.691090909091,546.2698507462687,,,,,,,,,
2010-10,395.3076712328767,313.31666666666666,420.2529411764706,451.0479245283019,298.60372093023256,241.34431818181818,284.2854098360656,257.64612903225805,427.63779999999997,488.25175,274.48,364.18672413793104,519.2578494623656,466.6093859649123,,,,,,,,,,
2010-11,373.6465594059406,517.6182857142857,364.68948717948723,252.70947368421056,236.5054054054054,321.2478787878788,269.8454545454546,266.86634146341464,256.8643243243243,292.19916666666666,324.3064444444445,336.9991525423729,370.79527777777776,,,,,,,,,,,
2010-12,507.4003797468354,250.29666666666668,1401.454,206.25428571428571,680.8411111111111,213.96599999999998,146.504,693.8914285714285,120.8725,216.91500000000002,233.86999999999998,577.3186666666667,,,,,,,,,,,,
2011-01,392.90116883116883,222.5929411764706,234.8264705882353,436.7105555555556,368.66047619047623,341.0872222222222,320.58375,462.4158333333333,500.681111111111,543.0590476190476,452.74260869565217,,,,,,,,,,,,,
2011-02,296.00057142857145,259.3025,329.71727272727276,300.3926470588235,283.6471875,250.9109090909091,283.7052,439.5533333333334,335.39099999999996,269.18392857142857,,,,,,,,,,,,,,
2011-03,366.9782352941176,287.34565217391304,334.9963157894737,288.4370909090909,343.43808510638297,294.80371428571425,320.29886363636365,359.22520833333334,301.9729411764706,,,,,,,,,,,,,,,
2011-04,321.0017886178862,295.0788636363636,255.421,279.0026923076923,268.08190476190475,366.92199999999997,254.78458333333333,274.42829268292684,,,,,,,,,,,,,,,,
2011-05,359.926,252.5652777777778,298.6829411764706,272.5717391304348,271.2730769230769,356.0248275862069,323.61863636363637,,,,,,,,,,,,,,,,,
2011-06,342.30880952380954,259.05029411764707,282.782962962963,291.32416666666666,345.23607142857145,280.66065217391304,,,,,,,,,,,,,,,,,,
2011-07,353.1046666666667,294.73884615384617,280.2215,359.82588235294116,297.2638775510204,,,,,,,,,,,,,,,,,,,
2011-08,389.4464912280702,457.31694444444446,581.0420833333334,886.4656410256409,,,,,,,,,,,,,,,,,,,,
2011-09,424.3060454545455,268.6905555555556,300.5355769230769,,,,,,,,,,,,,,,,,,,,,
2011-10,373.7441221374046,302.4620720720721,,,,,,,,,,,,,,,,,,,,,,
2011-11,330.686652892562,,,,,,,,,,,,,,,,,,,,,,,
