Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,TenureDays,AvgOrderValue,PurchaseFrequencyPerYear,CLV_Approx,UniqueProducts,TotalItemsPurchased,AvgItemsPerOrder,WeekendOrderRatio,PrimaryCountry,Cluster,Segment,Churned,ChurnProbability
12346,326,12,580.86,2,5,2,252,9,400,48.405,10.9575,580.86,27,270,7.9411764705882355,0.0,United Kingdom,2,Loyal Customers,1,0.6299516503867854
12347,2,8,5591.72,5,4,5,545,14,402,698.965,7.26865671641791,5591.72,126,3246,12.8300395256917,0.1581027667984189,Iceland,0,Champions,0,0.22784941815328083
12348,75,5,1821.4,3,4,4,344,11,362,364.28,5.044889502762431,1821.4,25,2714,53.21568627450981,0.0588235294117647,Finland,2,Loyal Customers,0,0.33265031287223357
12349,19,4,3642.94,5,3,5,535,13,570,910.735,2.563157894736842,3642.94,138,1624,9.28,0.0,Italy,2,Loyal Customers,0,0.018265200371447216
12350,310,1,312.40000000000003,2,1,2,212,5,1,312.40000000000003,365.25,312.40000000000003,17,197,11.588235294117649,0.0,Norway,3,Lost/Low-Value,1,0.6634108401059874
12351,375,1,300.93,2,1,2,212,5,1,300.93,365.25,300.93,21,261,12.428571428571429,0.0,Unspecified,3,Lost/Low-Value,1,0.6824970887150593
12352,36,10,1909.54,4,5,4,454,13,356,190.954,10.259831460674157,1909.54,70,724,7.029126213592233,0.0,Norway,2,Loyal Customers,0,0.27350303401057235
12353,204,2,406.76,2,2,2,222,6,204,203.38,3.5808823529411766,406.76,23,212,8.833333333333334,0.0,Bahrain,1,At Risk,1,0.6491591694474188
12354,232,1,1079.4,2,1,3,213,6,1,1079.4,365.25,1079.4,58,530,9.137931034482758,0.0,Spain,1,At Risk,1,0.5805330517829989
12355,214,2,947.61,2,2,3,223,7,353,473.805,2.0694050991501416,947.61,35,543,15.514285714285714,0.0,Bahrain,1,At Risk,1,0.4617596835734432
12356,23,6,6333.68,4,4,5,445,13,401,1055.6133333333337,5.465087281795512,6333.68,104,3417,23.895104895104897,0.0,Portugal,2,Loyal Customers,0,0.22956896494387538
12357,33,3,17448.66,4,3,5,435,12,355,5816.22,3.086619718309859,17448.66,261,6587,22.25337837837838,0.4425675675675675,Switzerland,2,Loyal Customers,0,0.20611649115299893
12358,2,5,3645.07,5,4,5,545,14,730,729.014,2.5017123287671232,3645.07,56,1079,14.012987012987011,0.0,Austria,2,Loyal Customers,0,0.021539299686521542
12359,58,10,7754.19,4,5,5,455,14,676,775.4190000000001,5.40310650887574,7754.190000000002,305,2752,7.53972602739726,0.1726027397260274,Cyprus,0,Champions,0,0.008115586531135305
12360,52,8,3909.29,4,4,5,445,13,603,488.66125,4.845771144278607,3909.29,160,2459,11.33179723502304,0.0,Austria,2,Loyal Customers,0,0.007212963161919747
12361,287,4,511.25,2,3,2,232,7,394,127.8125,3.708121827411168,511.25,18,235,8.10344827586207,0.2068965517241379,Belgium,2,Loyal Customers,1,0.5241344018052524
12362,3,11,5222.01,5,5,5,555,15,735,474.7281818181818,5.466326530612245,5222.01,201,2230,8.352059925093632,0.0,Belgium,0,Champions,0,0.004983455755124615
12363,110,2,552.0,3,2,2,322,7,132,276.0,5.534090909090908,552.0,23,408,17.73913043478261,0.0,Unspecified,1,At Risk,0,0.5594885150900933
12364,8,4,1313.1,5,3,4,534,12,104,328.275,14.048076923076922,1313.0999999999997,70,1506,17.71764705882353,0.2588235294117647,Belgium,2,Loyal Customers,0,0.4265966587179432
12365,291,2,338.69,2,2,2,222,6,1,169.345,730.5,338.69,22,174,7.909090909090909,0.0,Cyprus,1,At Risk,1,0.5910077227794238
12366,634,1,500.24,1,1,2,112,4,1,500.24,365.25,500.24,3,296,98.66666666666669,0.0,Cyprus,3,Lost/Low-Value,1,0.6658323250158328
12367,4,1,168.9,5,1,1,511,7,1,168.9,365.25,168.9,11,173,15.727272727272728,0.0,Denmark,1,At Risk,0,0.557091877671062
12368,628,1,917.7,1,1,3,113,5,1,917.7,365.25,917.7,18,330,18.33333333333333,1.0,Cyprus,3,Lost/Low-Value,1,0.5268663581965377
12369,413,3,1637.15,1,3,4,134,8,228,545.7166666666667,4.805921052631579,1637.15,90,1241,13.344086021505376,0.0,Austria,3,Lost/Low-Value,1,0.5083615931496465
12370,51,7,4085.35,4,4,5,445,13,617,583.6214285714285,4.143841166936791,4085.35,168,2429,12.024752475247524,0.0,Cyprus,2,Loyal Customers,0,0.010451062362221123
12371,45,5,3671.38,4,4,5,445,13,600,734.2760000000001,3.04375,3671.38,134,1436,8.598802395209582,0.0,Switzerland,2,Loyal Customers,0,0.022786493129749896
12372,72,3,1298.04,3,3,4,334,10,224,432.68,4.891741071428572,1298.04,34,794,15.26923076923077,0.0,Denmark,2,Loyal Customers,0,0.4233958485790972
12373,311,3,1017.65,2,3,3,233,8,362,339.2166666666667,3.0269337016574585,1017.65,36,516,10.117647058823527,0.0,Austria,2,Loyal Customers,1,0.45331023135773124
12374,25,4,2813.2200000000003,4,3,4,434,11,563,703.3050000000001,2.5950266429840143,2813.2200000000003,79,1362,16.40963855421687,0.0,Austria,2,Loyal Customers,0,0.07338421007317272
12375,11,2,413.5,5,2,2,522,9,87,206.75,8.39655172413793,413.5,14,178,10.470588235294118,0.0,Finland,1,At Risk,0,0.5843466237800807
12376,390,2,437.15,2,2,2,222,6,28,218.575,26.089285714285715,437.15,11,240,18.46153846153846,0.0,Switzerland,3,Lost/Low-Value,1,0.6768342058128672
12377,315,4,3338.32,2,3,5,235,10,274,834.58,5.332116788321168,3338.32,129,2105,13.848684210526317,0.0,Switzerland,2,Loyal Customers,1,0.4673124972510491
12378,130,2,5341.99,3,2,5,325,10,432,2670.995,1.6909722222222223,5341.99,281,3228,10.724252491694353,0.0,Switzerland,2,Loyal Customers,0,0.09906510355372818
12379,82,4,1620.22,3,3,4,334,10,452,405.055,3.232300884955752,1620.22,58,815,10.061728395061728,0.0,Belgium,2,Loyal Customers,0,0.3642084908210989
12380,22,11,7751.55,4,5,5,455,14,640,704.6863636363637,6.2777343750000005,7751.55,156,3355,12.111913357400722,0.0,Belgium,0,Champions,0,0.005704975262121373
12381,5,5,1647.31,5,4,4,544,13,115,329.462,15.880434782608695,1647.31,70,808,9.28735632183908,0.1839080459770115,Norway,2,Loyal Customers,0,0.4421608555284293
12383,185,5,1857.56,3,4,4,344,11,167,371.512,10.93562874251497,1857.56,84,1532,15.474747474747474,0.0,Belgium,2,Loyal Customers,1,0.371001658598913
12384,29,2,497.27,4,2,2,422,8,92,248.635,7.940217391304349,497.27,26,126,4.666666666666667,0.0,Switzerland,1,At Risk,0,0.6393618788953216
12385,379,1,1938.4,2,1,4,214,7,1,1938.4,365.25,1938.4,65,612,9.415384615384616,0.0,Belgium,3,Lost/Low-Value,1,0.7023241616290181
12386,338,2,660.8000000000001,2,2,3,223,7,29,330.40000000000003,25.1896551724138,660.8000000000001,10,568,31.55555555555556,0.0,Australia,3,Lost/Low-Value,1,0.5827328068047546
12387,415,1,143.94,1,1,1,111,3,1,143.94,365.25,143.94,9,134,14.88888888888889,0.0,Australia,3,Lost/Low-Value,1,0.6593211476623796
12388,16,8,3901.11,5,4,5,545,14,566,487.63875,5.162544169611308,3901.1100000000006,83,2001,13.705479452054794,0.1506849315068493,Australia,2,Loyal Customers,0,0.0237286383413367
12389,403,3,1433.33,2,3,4,234,9,253,477.7766666666666,4.3310276679841895,1433.33,41,614,12.53061224489796,0.0,Australia,3,Lost/Low-Value,1,0.486610087488558
12390,80,1,549.84,3,1,2,312,6,1,549.84,365.25,549.84,32,353,11.03125,0.0,Belgium,1,At Risk,0,0.427735739423725
12391,22,6,2617.72,4,4,4,444,12,641,436.2866666666666,3.4188767550702024,2617.72,241,1220,4.341637010676156,0.0,Cyprus,2,Loyal Customers,0,0.011300236237978045
12392,591,1,234.75000000000003,1,1,1,111,3,1,234.75000000000003,365.25,234.75000000000003,7,73,10.428571428571429,0.0,Australia,3,Lost/Low-Value,1,0.7128647298205385
12393,72,6,2399.45,3,4,4,344,11,356,399.9083333333333,6.155898876404494,2399.45,63,1311,12.25233644859813,0.0,Australia,2,Loyal Customers,0,0.2649736887846433
12394,64,2,1173.92,3,2,3,323,8,153,586.96,4.7745098039215685,1173.92,26,707,26.185185185185187,0.0,Belgium,2,Loyal Customers,0,0.5101153371020957
12395,19,15,5045.32,5,5,5,555,15,583,336.3546666666667,9.397512864493995,5045.320000000001,145,3733,14.696850393700789,0.0590551181102362,Belgium,0,Champions,0,0.0043113583430178445
12396,674,1,931.43,1,1,3,113,5,1,931.43,365.25,931.43,65,591,9.092307692307692,0.0,RSA,3,Lost/Low-Value,1,0.5756027273408548
12397,36,2,2409.9,4,2,4,424,10,99,1204.95,7.378787878787878,2409.9,110,1263,10.023809523809524,0.0,Belgium,2,Loyal Customers,0,0.3981613167896768
12398,46,1,1525.66,4,1,4,414,9,1,1525.66,365.25,1525.66,85,1394,16.4,0.0,Switzerland,1,At Risk,0,0.4655913141407514
12399,119,7,1963.5,3,4,4,344,11,525,280.5,4.87,1963.5,67,2198,19.98181818181818,0.0,Belgium,2,Loyal Customers,0,0.06756373662367468
12400,414,1,205.25,1,1,1,111,3,1,205.25,365.25,205.25,11,91,8.272727272727273,0.0,Australia,3,Lost/Low-Value,1,0.7397031097686453
12401,303,1,84.3,2,1,1,211,4,1,84.3,365.25,84.3,5,11,2.2,0.0,Belgium,3,Lost/Low-Value,1,0.8924333868571327
12402,323,6,1256.9,2,4,4,244,10,347,209.4833333333333,6.315561959654178,1256.9,43,584,8.342857142857143,0.4,Belgium,2,Loyal Customers,1,0.5410310147619658
12403,50,2,1019.36,4,2,3,423,9,471,509.68,1.5509554140127388,1019.36,5,260,28.88888888888889,0.0,Denmark,1,At Risk,0,0.23430442077063568
12404,682,1,18.0,1,1,1,111,3,1,18.0,365.25,18.0,1,1,1.0,0.0,Finland,3,Lost/Low-Value,1,0.9249190744205387
12405,149,1,1534.39,3,1,4,314,8,1,1534.39,365.25,1534.39,54,857,15.87037037037037,0.0,Finland,1,At Risk,0,0.4246521590830812
12406,22,5,6390.36,4,4,5,445,13,675,1278.072,2.705555555555556,6390.359999999999,114,3416,20.57831325301205,0.0,Denmark,2,Loyal Customers,0,0.07076583689755606
12407,50,5,1686.76,4,4,4,444,12,214,337.352,8.533878504672899,1686.7600000000002,57,1344,17.454545454545453,0.1948051948051948,Belgium,2,Loyal Customers,0,0.3899322417321793
12408,33,8,4276.33,4,4,5,445,13,465,534.54125,6.283870967741936,4276.33,104,2229,14.0188679245283,0.0,Belgium,2,Loyal Customers,0,0.27852209012738777
12409,79,7,23364.67,3,4,5,345,12,486,3337.81,5.260802469135803,23364.67,177,13103,49.63257575757576,0.3295454545454545,Switzerland,0,Champions,0,0.1274658378679576
12410,309,3,881.71,2,3,3,233,8,193,293.90333333333336,5.677461139896373,881.71,36,341,8.525,0.35,Switzerland,2,Loyal Customers,1,0.5314955926647508
12411,410,1,346.9,2,1,2,212,5,1,346.9,365.25,346.9,22,138,6.2727272727272725,0.0,Australia,3,Lost/Low-Value,1,0.7502269147629802
12412,75,6,2597.17,3,4,4,344,11,464,432.8616666666667,4.723060344827586,2597.17,82,1997,15.724409448818898,0.0,Denmark,2,Loyal Customers,0,0.24242352307686665
12413,67,4,967.5,3,3,3,333,9,335,241.875,4.361194029850746,967.5,41,319,6.254901960784314,0.0784313725490196,France,2,Loyal Customers,0,0.44443161525829417
12414,217,6,640.41,2,4,3,243,9,246,106.735,8.908536585365853,640.41,21,495,17.678571428571427,0.0,Austria,2,Loyal Customers,1,0.6725283253489605
12415,24,28,133286.62,4,5,5,455,14,503,4760.236428571428,20.332007952286283,133286.62,498,79443,85.79157667386609,0.0,Australia,0,Champions,0,0.07303554817447068
12416,657,1,202.56,1,1,1,111,3,1,202.56,365.25,202.56,11,132,12.0,1.0,Australia,3,Lost/Low-Value,1,0.7271463384569417
